artistGNDId,artistName (preferred),placeOfBirth,birth year,num_works,birth_year_span_start,latitude,longitude
1035461919,"Viel, Pierre",Paris,1755.0,1,1750.0,48.8588897,2.320041
1035579944,"Marlet, Jean Henri",Autun,1770.0,1,1750.0,46.9510313,4.2989478
1036277275,"Plattenberg, Matthieu van",Antwerpen,1608.0,13,1600.0,51.2211097,4.3997081
1036384004,"Portier, Adolphe",Paris,1820.0,1,1800.0,48.8588897,2.320041
1036384004,"Riffaut, Adolphe Pierre",Paris,1821.0,1,1800.0,48.8588897,2.320041
1036535533,"Courboin, Franc̜ois",Chaumont-Porcien,1865.0,2,1850.0,49.6497135,4.2466138
1036630110,Anonym,Amsterdam,1508.0,3,1500.0,52.3730796,4.8924534
1036630110,"Anonym, deutsch, 16. Jahrhundert",Amsterdam,1501.0,1,1500.0,52.3730796,4.8924534
1036630110,"Anonym, niederländisch, 16. Jahrhundert",Amsterdam,1501.0,3,1500.0,52.3730796,4.8924534
1036630110,Meister A C,Amsterdam,1508.0,62,1500.0,52.3730796,4.8924534
1036630110,Monogrammist S,Amsterdam,1508.0,1,1500.0,52.3730796,4.8924534
1036634302,"Llanta, Jacques François Gaudérique",Perpignan,1807.0,1,1800.0,42.6985304,2.8953121
1036756556,"Beyer, Charles",Meißen,1792.0,1,1750.0,51.1630871,13.4704939
1036868575,"Vigneron, Pierre-Roch",Vosnon,1789.0,5,1750.0,48.109672,3.8432751
1037094409,"Gautier d’Agoty, Jean-Baptiste",Paris,1740.0,2,1700.0,48.8588897,2.320041
1037240464,"Audran, Jean",Lyon,1667.0,10,1650.0,45.7578137,4.8320114
103728254X,"Clouwet, Peeter",Antwerpen,1629.0,1,1600.0,51.2211097,4.3997081
1037332962,"Spilman, Hendricus",Amsterdam,1721.0,1,1700.0,52.3730796,4.8924534
1037339835,"Ingouf, Pierre Charles",Paris,1746.0,3,1700.0,48.8588897,2.320041
1037385446,"Macret, Charles François Adrien",Abbeville,1751.0,1,1750.0,50.1060835,1.8337029
1037458052,"Abel-Truchet, Louis",Versailles,1857.0,6,1850.0,48.8035403,2.1266886
103750746,"Goeree, Jan",Middelburg,1670.0,1,1650.0,51.4996784,3.6137371
1037567692,"Mayer, Lucas",Augsburg,1550.0,6,1550.0,48.3690341,10.8979522
1037695119,"Delen, Dirck van",Heusden (Nordbrabant),1605.0,2,1600.0,51.6888859,5.165507
1037838076,"Mey, Rafael de",Köln,1580.0,3,1550.0,50.938361,6.959974
1037851226,"Teply, Joseph",Prag,1814.0,2,1800.0,50.0596288,14.4464593
1037992652,"Deifel, Johann Leonhard",Nürnberg,1812.0,1,1800.0,49.453872,11.077298
1038083508,"Heilbuth, Ferdinand",Hamburg,1826.0,2,1800.0,53.550341,10.000654
1038357195,"Bovinet, Edme",Chaumont (Haute-Marne),1767.0,1,1750.0,48.1111324,5.1395849
1038387183,"Brun, Franz",Straßburg,1579.0,15,1550.0,48.584614,7.7507127
104045469,"Schley, Jacob van der",Amsterdam,1715.0,13,1700.0,52.3730796,4.8924534
104058250,"Verkolje, Nicolaas",Delft,1673.0,2,1650.0,51.9994572,4.3627245
104114614,"Wierix II, Antonius",Amsterdam,1555.0,4,1550.0,52.3730796,4.8924534
104144769,"Desrochers, Étienne Jehandier",Lyon,1668.0,2,1650.0,45.7578137,4.8320114
104148187,"Boilly, Julien Léopold",Paris,1796.0,8,1750.0,48.8588897,2.320041
104160802,"Schmidt, Georg Friedrich",Schönerlinde bei Berlin,1712.0,2,1700.0,,
1042042489,"Roger, Barthélemy Joseph Fulcran",Lodève,1770.0,4,1750.0,43.73106,3.31892
104227818,"Noël, Alphonse Léon",Paris,1807.0,9,1800.0,48.8588897,2.320041
104242337,"Manuel, Hans Rudolf",Erlach (Kanton Bern),1525.0,1,1500.0,47.0433028,7.0975115
104243430,"Galle, Cornelis",Antwerpen,1576.0,4,1550.0,51.2211097,4.3997081
104243473,"Leu, Thomas de",Paris,1555.0,1,1550.0,48.8588897,2.320041
1042513325,"Tilliard, Jean-Baptiste",Paris,1740.0,9,1700.0,48.8588897,2.320041
104277009,"Boissard, Jean Jacques",Besançon,1528.0,1,1500.0,47.2380222,6.0243622
1043022996,"Holsteijn, Pieter",Haarlem,1590.0,1,1550.0,52.3837058,4.6435597
104303875,"David, François Anne",Paris,1741.0,3,1700.0,48.8588897,2.320041
104304243,"Verhelst, Aegid",Ettal,1733.0,2,1700.0,47.5692548,11.0939733
1043070591,"Wilborn, Nicolaus",Lübeck,1501.0,18,1500.0,53.866444,10.684738
104310499,"Anonym, französisch, 18. Jahrhundert",Langres,1701.0,1,1700.0,47.8639612,5.333947
